"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7497,"5229570S","52","S",29570,7,"HABBOANO","Hagys Ford Rd & Bobarn Rd - MBFS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.036274,-75.25943,"{08DD1166-E8B2-490B-83C5-B66460F7969E}","2016"
7498,"5229571S","52","S",29571,8,"HAGCHEEA","Hagys Ford Rd & Chermar Ln","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.038023,-75.258539,"{942982D9-1380-4707-86A0-A58E99DD3F2F}","2016"
7499,"5229572S","52","S",29572,9,"OAKOAKEA","Oakwood Dr & Oakwood Ter - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.038869,-75.257485,"{44734808-799F-4741-88AC-AA53CD9F1A19}","2016"
7500,"5230135S","52","S",30135,10,"OAKOAWNE","Oakwood Ter & Oakwood Dr - MBFS","City","Bus","No","APC Fall 2016",2,0,2,0,0,0,0,0,0,40.039501,-75.255994,"{AF13D684-3242-4627-9100-D5E66E71D4B1}","2016"
7501,"5230223S","52","S",30223,11,"OAKLOONO","Oakhill Apartments Loop","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.040856,-75.254867,"{85E0507B-190A-4293-A494-A69CF3F4C957}","2016"
7502,"5230134S","52","S",30134,12,"OAKOAWSW","Oakwood Dr & Oakwood Ter - MBNS","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.039528,-75.256159,"{8A506ED7-7032-4076-A8F2-B6A09C00248C}","2016"
7503,"5229573S","52","S",29573,13,"OAKOAKWE","Oakwood Dr & Oakwood Ter","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.038994,-75.257508,"{66374E65-ABD8-4597-B686-F479AD970307}","2016"
7504,"5229574S","52","S",29574,14,"HAGCHEWE","Hagys Ford Rd & Chermar Ln - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.03813,-75.258681,"{DD06B9F1-EE3B-4CFF-99E8-3542F86A7218}","2016"
7505,"5229575S","52","S",29575,15,"HAGBOASE","Hagys Ford Rd & Bobarn Dr - MBNS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.036257,-75.259596,"{66057E04-76BC-4166-ADCD-18FDE55BC175}","2016"
7506,"5221663S","52","S",21663,16,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.034927,-75.259268,"{F2243ADF-A0EC-4071-A6FA-0A4275A39364}","2016"
7507,"5221667S","52","S",21667,17,"HAGTOWSE","Hagys Ford Rd & Tower Ln - MBFS","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.032514,-75.257288,"{2EEF5E63-1258-49B3-B53C-F538E308EF6F}","2016"
7508,"5221668S","52","S",21668,18,"HAGFLASE","Hagys Ford Rd & Flat Rock Rd","City","Bus","No","APC Fall 2016",3,0,3,0,0,0,0,0,0,40.030234,-75.254361,"{1E9ED6FB-73D8-48B4-A3A6-F8289BE09947}","2016"
7509,"5229558S","52","S",29558,19,"HAGFLTSE","Hagys Ford Rd & Flat Rock Rd - MBFS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.029152,-75.253016,"{57A06990-79B3-4FF5-A6D3-1076F21DFE9A}","2016"
7510,"5229556S","52","S",29556,20,"HAGTOWSW","Hagys Ford Rd & Tower Ln - MBNS","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.027511,-75.25347,"{EC6C81C7-44D6-4A31-97B7-9EB5CD9FCB50}","2016"
7511,"5229557S","52","S",29557,21,"HAGTOESW","Hagys Ford Rd & Tower Ln","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.026568,-75.255706,"{AAEE22D2-6698-4591-8183-4CAF3EF8761A}","2016"
7512,"5221669S","52","S",21669,22,"CONHAGSE","Conshohocken & Hagys Ford Rd - FS","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,40.025241,-75.257683,"{B53092A3-2794-4B61-9B44-9B1C9F96C663}","2016"
7513,"5221673S","52","S",21673,23,"CONCENSE","Conshohocken St & Centennial Rd","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.023489,-75.256068,"{A6855A3E-4F91-4DAA-9E4C-1C26C93352C9}","2016"
7514,"5231450S","52","S",31450,24,"CONMARSE","Conshohocken State Rd & Mary Waters Ford Rd","City","Bus","No","APC Fall 2016",3,0,3,0,0,0,0,0,0,40.020627,-75.245922,"{353044DE-CF1B-4B84-9BCB-1C5C1F472673}","2016"
7515,"5229559S","52","S",29559,25,"CONMANEA","Conshohocken State Rd & Manayunk Rd - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.018796,-75.244401,"{2BCDF874-B27A-4E7B-9647-8898611090DC}","2016"
7516,"5221677S","52","S",21677,26,"CONROCSE","Conshohocken State Rd & RockHill Rd","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.018254,-75.24029,"{8AC7B7B9-A659-4317-907E-2BEBF40956BF}","2016"
7517,"5229561S","52","S",29561,27,"CONROCSO","Conshohocken State Rd & Rockhill Rd","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.017441,-75.239594,"{39513383-599B-4B9D-9CCC-E334E9418C5B}","2016"
7518,"5229560S","52","S",29560,28,"CONDARSE","Conshohocken & Dartmouth - FS","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.016726,-75.238875,"{A159424A-4633-4763-B216-1B8699648F6A}","2016"
7519,"5229563S","52","S",29563,29,"CONOVESE","Conshohocken State Rd & Overhill Rd","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.015171,-75.237544,"{43BAA2E7-FC84-407D-9479-DAFEA04F07B7}","2016"
7520,"5221678S","52","S",21678,30,"CONLEVSE","Conshohocken State Rd & LeveringMil","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.013473,-75.236201,"{6FE18F65-1BEA-4ADC-8BF3-6DCECFE4E4D4}","2016"
7521,"5229562S","52","S",29562,31,"CONDERSE","Conshohocken State Rd & Derwen Rd","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.012383,-75.235353,"{3E546ECC-6288-42EA-82C3-2EBC498493DA}","2016"
7522,"5221679S","52","S",21679,32,"CONLODSE","Conshohocken State Rd & Lodges Ln","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.010756,-75.234081,"{88427117-FC3F-4767-959A-98EDD3DF36BD}","2016"
7523,"5221680S","52","S",21680,33,"CONBALSO","Conshohocken State Rd & Bala Av","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.007532,-75.232802,"{3BD71D34-0372-4388-AD20-5B2233BC03C0}","2016"
7524,"5229565S","52","S",29565,34,"BALMONSO","Bala Av & Montgomery Av","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.00647,-75.232462,"{04836586-5599-4501-80A6-94AE09FE944C}","2016"
7525,"5229566S","52","S",29566,35,"BALHIGSO","Bala Av & Highland Av","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.005104,-75.232206,"{7329673D-662A-415A-99C6-EA4611655D94}","2016"
7526,"5221682S","52","S",21682,36,"BALUNISE","Bala Av & Union Av","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,40.003174,-75.231277,"{02ECEA0C-EAEC-422A-B44D-9E832921AE1E}","2016"
7527,"52698S","52","S",698,37,"BALCITSO","Bala Av & City Av","City","Bus","No","APC Fall 2016",2,11,13,0,0,0,0,0,0,40.000243,-75.22891,"{A0BE338D-C051-4225-9A0E-79FFE3AF1995}","2016"
7528,"5220561S","52","S",20561,38,"CITBRYSW","City Av & Bryn Mawr Av","City","Bus","No","APC Fall 2016",1,0,1,0,0,0,0,0,0,39.99922,-75.230851,"{C7A791A2-904D-4E54-A357-08E40FE8579F}","2016"
7529,"5231283S","52","S",31283,39,"CITMAPSW","City Av & Maple Av","City","Bus","No","APC Fall 2016",0,0,0,0,0,0,0,0,0,39.998153,-75.233158,"{B316CF4C-44F4-4A9F-A387-595D72229324}","2016"
7530,"5230138S","52","S",30138,40,"54TCITSO","54th St & City Av - MBFS","City","Bus","No","APC Fall 2016",577,2,579,402,0,402,336,0,336,39.995986,-75.23457,"{3A7F1CAD-BA8C-4070-87E7-0A59F330F10F}","2016"
7531,"5221683S","52","S",21683,41,"54TOVESO","54th St & Overbrook Av","City","Bus","No","APC Fall 2016",84,3,87,41,2,43,17,0,17,39.994888,-75.234136,"{2A31E9C9-7FEB-4D95-8066-855AEDCBDB16}","2016"
7532,"5221684S","52","S",21684,42,"54TWOOSO","54th St & Woodbine Av","City","Bus","No","APC Fall 2016",39,4,43,19,2,21,15,6,21,39.992335,-75.233789,"{8858BACD-529A-48C9-A37B-F7E734EEEA29}","2016"
7533,"5221685S","52","S",21685,43,"54TWODSO","54th St & Woodcrest Av","City","Bus","No","APC Fall 2016",68,9,77,40,14,54,40,5,45,39.990799,-75.233604,"{19EAE700-B1C1-411C-8B94-5522DB62F3FF}","2016"
7534,"5221686S","52","S",21686,44,"54TGAISO","54th St & Gainor Rd","City","Bus","No","APC Fall 2016",60,14,74,48,6,54,41,7,48,39.988995,-75.23303,"{B6EE3E4A-E1E3-465C-81A0-CAA14FC64543}","2016"
7535,"5221687S","52","S",21687,45,"54TLEBSO","54th St & Lebanon Av","City","Bus","No","APC Fall 2016",123,27,150,59,15,74,55,14,69,39.987468,-75.232514,"{A2D24CC4-19C9-41E8-9ECF-1693981A25B6}","2016"
7536,"5221688S","52","S",21688,46,"54TBERSO","54th St & Berks St","City","Bus","No","APC Fall 2016",275,55,330,144,26,170,114,16,130,39.985941,-75.231975,"{3AF63E7D-F0E0-41EB-ADC6-827C57CA0F19}","2016"
7537,"5222217S","52","S",22217,47,"54TMONSO","54th St & Montgomery Av","City","Bus","No","APC Fall 2016",208,46,254,128,28,156,98,25,123,39.984155,-75.231365,"{E66C6232-E61D-4B41-A04E-C23EC7DB8655}","2016"
7538,"5221689S","52","S",21689,48,"54TUPLSO","54th St & Upland Way","City","Bus","No","APC Fall 2016",77,13,90,41,7,48,36,8,44,39.982575,-75.230826,"{98BAC362-E3C4-495E-A832-B22A3CC15214}","2016"
7539,"5221690S","52","S",21690,49,"54TOXFSO","54th St & Oxford St","City","Bus","No","APC Fall 2016",22,5,27,13,1,14,7,1,8,39.981771,-75.230321,"{F0757932-FBB0-4855-ACDB-169C592FB3F9}","2016"
7540,"5225982S","52","S",25982,50,"JEF53RSE","Jefferson St & 53rd St","City","Bus","No","APC Fall 2016",39,17,56,16,7,23,9,2,11,39.980438,-75.228269,"{E14BB489-011A-4CA7-BFAD-DFADCB3688F6}","2016"
7541,"5221691S","52","S",21691,51,"JEFLINSE","Jefferson St & Lindenwood St","City","Bus","No","APC Fall 2016",53,12,65,41,10,51,27,6,33,39.980097,-75.227301,"{966EA02C-75E9-4706-9B2E-203FFD5D42D4}","2016"
7542,"5222218S","52","S",22218,52,"JEF52NSE","Jefferson St & 52nd St","City","Bus","No","APC Fall 2016",390,78,468,286,72,358,226,52,278,39.979443,-75.225507,"{9942CC54-8F27-4395-9EB0-4C87A637DBCB}","2016"
7543,"5230771S","52","S",30771,53,"PARLOOSO","50th & Parkside Loop","City","Bus","No","APC Fall 2016",59,0,59,0,0,0,0,0,0,39.978201,-75.219687,"{F58CF842-81EE-441B-B059-B95A7EE01C9F}","2016"
7544,"5230844S","52","S",30844,54,"50TPARNO","50th St & Parkside Av","City","Bus","No","APC Fall 2016",8,1,9,0,0,0,0,0,0,39.979825,-75.219328,"{1EC50365-F14B-4E0E-B4DB-6DA1E24A5252}","2016"
7545,"5221754S","52","S",21754,55,"PAR51SNW","Parkside Av & 51st St","City","Bus","No","APC Fall 2016",19,0,19,0,0,0,0,0,0,39.980775,-75.221392,"{57989154-1326-452F-B67B-CBDAE3D68CAB}","2016"
7546,"5221755S","52","S",21755,56,"PARPAXNW","Parkside Av & Paxon St","City","Bus","No","APC Fall 2016",5,0,5,0,0,0,0,0,0,39.981178,-75.222371,"{64F982CD-8467-4E97-8421-19B5ECC81123}","2016"
7547,"5221757S","52","S",21757,57,"52NCOLSW","52nd St & Columbia Av","City","Bus","No","APC Fall 2016",5,3,8,0,0,0,0,0,0,39.980566,-75.224748,"{AE682ED9-05E3-4AD9-B910-90A5FEF3C0BF}","2016"
7548,"5231270S","52","S",31270,58,"52NJEFSO","52nd St & Jefferson St","City","Bus","No","APC Fall 2016",91,4,95,0,0,0,0,0,0,39.979594,-75.225341,"{DCBED405-9563-4A1D-B981-C1BBE4B622BB}","2016"
7549,"5231039S","52","S",31039,59,"PARWESWE","Parkwest Town Center","City","Bus","No","APC Fall 2016",243,79,322,142,45,187,75,24,99,39.978715,-75.222733,"{35EDF68F-CECB-41A2-867D-BD32DDC3890A}","2016"
7550,"5221692S","52","S",21692,60,"52NLANSO","52nd St & Lancaster Av - FS","City","Bus","No","APC Fall 2016",496,125,621,220,57,277,188,45,233,39.977017,-75.22692,"{551F4F22-58D5-42B9-ACB4-CF021AD8C799}","2016"
7551,"5221693S","52","S",21693,61,"52NMEDSO","52nd St & Media St","City","Bus","No","APC Fall 2016",175,28,203,61,6,67,37,7,44,39.975812,-75.226746,"{A0AFEBE0-334A-447A-9CF0-C7F453285237}","2016"
7552,"5221694S","52","S",21694,62,"52NMASSO","52nd St & Master St - FS","City","Bus","No","APC Fall 2016",214,41,255,115,27,142,82,22,104,39.974107,-75.22642,"{65F98100-44FB-4390-9433-9F923FC36D04}","2016"
7553,"5221695S","52","S",21695,63,"52NTHOSO","52nd St & Thompson St - FS","City","Bus","No","APC Fall 2016",156,39,195,100,29,129,63,18,81,39.97275,-75.226176,"{ADA6E1C3-FA49-4A10-81B4-740218CF8CC2}","2016"
7554,"52767S","52","S",767,64,"52NGIRSO","52nd St & Girard Av - FS","City","Bus","No","APC Fall 2016",589,160,749,336,117,453,273,86,359,39.971241,-75.225873,"{58DB2031-8565-4F80-A819-25CFD7DDCD6D}","2016"
7555,"5221696S","52","S",21696,65,"52NWYASO","52nd St & Wyalusing Av - FS","City","Bus","No","APC Fall 2016",129,30,159,71,15,86,49,14,63,39.969313,-75.22543,"{1495DA62-4EA0-4E66-9721-2BE6A5712C0B}","2016"
7556,"5221697S","52","S",21697,66,"52NWESSO","52nd St & Westminster Av - FS","City","Bus","No","APC Fall 2016",196,49,245,133,29,162,85,27,112,39.967929,-75.225186,"{B91147A4-6589-4955-BB3C-623BA96974F7}","2016"
7557,"5221698S","52","S",21698,67,"52NPARSO","52nd St & Parrish St - FS","City","Bus","No","APC Fall 2016",145,53,198,78,32,110,51,33,84,39.966411,-75.224954,"{B3BCA44D-93B4-421E-B129-DA1CFEF8F946}","2016"
7558,"52768S","52","S",768,68,"52NHAVSO","52nd St & Haverford Av - FS","City","Bus","No","APC Fall 2016",241,99,340,118,54,172,76,47,123,39.964697,-75.224651,"{B4DEF2FD-7D3E-430C-8215-6871C98C4E4F}","2016"
7559,"5221699S","52","S",21699,69,"52NRACSO","52nd St & Race St","City","Bus","No","APC Fall 2016",95,50,145,42,18,60,43,27,70,39.963153,-75.224325,"{41E89A4A-2691-4FBD-BCED-B46B409955E7}","2016"
7560,"5221700S","52","S",21700,70,"52NARCSO","52nd St & Arch St - FS","City","Bus","No","APC Fall 2016",22,65,87,10,51,61,7,38,45,39.961404,-75.224696,"{3CA31CDB-5EA4-4A2C-B2FB-9CB0692B65BA}","2016"
7561,"52769S","52","S",769,71,"52NMARSO","52nd St & Market St","City","Bus","No","APC Fall 2016",1323,1867,3190,575,943,1518,418,664,1082,39.9602,-75.224948,"{C66EEEED-73BC-40AC-AD55-583BED9E6C5C}","2016"
7562,"5221701S","52","S",21701,72,"52NCHESO","52nd St & Chestnut St","City","Bus","No","APC Fall 2016",355,174,529,158,92,250,114,78,192,39.958567,-75.225283,"{2FCDAA85-4B30-40DE-9945-33DE4573DF7A}","2016"
7563,"5221702S","52","S",21702,73,"52NWALSO","52nd St & Walnut St","City","Bus","No","APC Fall 2016",238,142,380,133,92,225,86,45,131,39.957059,-75.225571,"{93DE3517-73A5-4230-BF5F-FB8636384A43}","2016"
7564,"5221703S","52","S",21703,74,"52NLOCSO","52nd St & Locust St - FS","City","Bus","No","APC Fall 2016",45,60,105,19,31,50,14,21,35,39.955569,-75.225906,"{73C0175A-3A47-4A93-8926-022A851493BE}","2016"
7565,"5221704S","52","S",21704,75,"52NSPRSO","52nd St & Spruce St - FS","City","Bus","No","APC Fall 2016",180,209,389,101,111,212,89,75,164,39.954427,-75.226133,"{137BDE49-9D27-4E65-9EC6-923EC3882B93}","2016"
7566,"5221705S","52","S",21705,76,"52NPINSO","52nd St & Pine St","City","Bus","No","APC Fall 2016",50,84,134,17,39,56,22,25,47,39.953633,-75.226313,"{8477A864-B3A0-459B-997F-C0D3D86F73EC}","2016"
7567,"5221706S","52","S",21706,77,"52NLARSO","52nd St & Larchwood St","City","Bus","No","APC Fall 2016",51,141,192,24,82,106,20,49,69,39.952098,-75.226612,"{028CF8C3-361E-40A5-A9BB-06ED1795D617}","2016"
7568,"5221707S","52","S",21707,78,"52NCEDSO","52nd St & Cedar Av","City","Bus","No","APC Fall 2016",93,239,332,30,80,110,36,72,108,39.950564,-75.226936,"{3BC6D1D5-66BE-40EC-B494-CCDA02A81144}","2016"
7569,"5221708S","52","S",21708,79,"52NCATSO","52nd St & Catherine St - FS","City","Bus","No","APC Fall 2016",27,96,123,14,67,81,16,39,55,39.948797,-75.227318,"{1CA12234-934F-472C-9CD5-A77718A58FF3}","2016"
7570,"52771S","52","S",771,80,"52NBALSO","52nd St & Baltimore Av","City","Bus","No","APC Fall 2016",190,391,581,99,216,315,81,161,242,39.94787,-75.227498,"{7126D812-C1E9-4860-8820-BC7820A6F65E}","2016"
7571,"5221709S","52","S",21709,81,"WHI53RSW","Whitby Av & 53rd St - FS","City","Bus","No","APC Fall 2016",7,21,28,1,7,8,2,18,20,39.946006,-75.228731,"{0C855BEB-A8C4-4D21-934D-DFF4C6D4F2B6}","2016"
7572,"5221710S","52","S",21710,82,"54TWHISE","54th St & Whitby Av - FS","City","Bus","No","APC Fall 2016",42,208,250,30,104,134,16,84,100,39.945133,-75.229501,"{D3106AEA-20AE-47B3-8E36-515D0019DFBD}","2016"
7573,"5221711S","52","S",21711,83,"54TWILSE","54th St & Willows Av","City","Bus","No","APC Fall 2016",45,182,227,20,102,122,24,67,91,39.944158,-75.228312,"{939DF9FA-4D3F-47FE-8E6E-6122C9E094EC}","2016"
7574,"5221712S","52","S",21712,84,"54TFLOSE","54th St & Florence Av","City","Bus","No","APC Fall 2016",64,233,297,33,101,134,37,89,126,39.942969,-75.226945,"{AAC68014-32F4-4D82-A5FB-EC92DB02A0E1}","2016"
7575,"5221713S","52","S",21713,85,"54TWARSE","54th St & Warrington St","City","Bus","No","APC Fall 2016",76,253,329,11,80,91,9,66,75,39.941887,-75.225661,"{7F93C69D-0BA4-48F6-ABD1-A69D4587B0CA}","2016"
7576,"5221714S","52","S",21714,86,"54TSPRSE","54th St & Springfield Av","City","Bus","No","APC Fall 2016",23,146,169,8,54,62,11,60,71,39.940724,-75.224295,"{AE20377A-AB08-4FD5-A6E2-0FD9A4BD2585}","2016"
7577,"52776S","52","S",776,87,"54TCHESE","54th St & Chester Av","City","Bus","No","APC Fall 2016",113,433,546,32,306,338,28,217,245,39.939696,-75.223058,"{08AD7DF4-BC4E-42EB-90DD-EE9EAAE83F79}","2016"
7578,"5221257S","52","S",21257,88,"54TCHENW","54th St & Chester Av","City","Bus","No","APC Fall 2016",0,293,293,0,0,0,0,0,0,39.93958,-75.222775,"{50B9B935-7EAD-48F1-A847-03E95E34B569}","2016"
7579,"5221715S","52","S",21715,89,"54TKINSE","54th St & Kingsessing Av","City","Bus","No","APC Fall 2016",10,85,95,11,66,77,5,50,55,39.938659,-75.221798,"{EB7E2A3C-42B7-462E-8AC1-25ACB3C2014F}","2016"
7580,"5221716S","52","S",21716,90,"GRE54TNE","Greenway Av & 54th St - FS","City","Bus","No","APC Fall 2016",13,349,362,4,180,184,5,144,149,39.937522,-75.220018,"{2D435AD6-25E1-43D4-ADB4-99DB3477D690}","2016"
7581,"5221717S","52","S",21717,91,"GRE53RNE","Greenway Av & 53rd St","City","Bus","No","APC Fall 2016",7,100,107,2,62,64,0,35,35,39.938306,-75.218883,"{3108C0CF-ACCA-4D34-B71B-E835CEF842A3}","2016"
7582,"5221718S","52","S",21718,92,"GRE52NNE","Greenway Av & 52nd St","City","Bus","No","APC Fall 2016",6,117,123,3,64,67,2,47,49,39.939267,-75.21751,"{1E7475D3-0C88-497D-A306-202FADF77616}","2016"
7583,"5221719S","52","S",21719,93,"GRE51SNE","Greenway Av & 51st St","City","Bus","No","APC Fall 2016",6,68,74,3,23,26,1,32,33,39.940069,-75.216374,"{6CD23949-6D01-4F21-AC19-359D7F5FCDD9}","2016"
7584,"5221720S","52","S",21720,94,"GRE50TNE","Greenway Av & 50th St","City","Bus","No","APC Fall 2016",12,74,86,7,38,45,38,26,64,39.940959,-75.215132,"{7215221F-7449-4D37-99F2-B3195AA56353}","2016"
7585,"5230185S","52","S",30185,95,"GRE49TNE","Greenway Av & 49th St","City","Bus","No","APC Fall 2016",1,85,86,4,43,47,2,43,45,39.941832,-75.21389,"{DA1A11BC-0610-48E3-A7D7-4ACEEF760B09}","2016"
7586,"5221256S","52","S",21256,96,"49TWOOSE","49th St & Woodland Av","City","Bus","No","APC Fall 2016",0,632,632,0,366,366,0,320,320,39.940866,-75.212759,"{92928B34-4CDD-4259-A220-B38329122127}","2016"
