"OBJECTID","GIS_DB_ID","Route","Direction","Stop_ID","Sequence","Stop_Abbre","Stop_Name","Sign_Up","Mode","School_Rou","Source","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
7416,"523574N","52","N",3574,26,"52NCHENO","52nd St & Chestnut St","City","Bus","No","APC Fall 2016",272,221,493,151,120,271,95,60,155,39.958361,-75.225154,"{025D5432-1FEC-4351-A4D5-7B9E5C51407A}","2016"
7417,"52779N","52","N",779,27,"52NMARNO","52nd St & Market St","City","Bus","No","APC Fall 2016",1918,1498,3416,986,712,1698,690,544,1234,39.959825,-75.224878,"{62D80837-35A3-4236-89FF-F588B1E797C8}","2016"
7418,"5221744N","52","N",21744,28,"52NARCNO","52nd St & Arch St - FS","City","Bus","No","APC Fall 2016",102,42,144,61,29,90,54,22,76,39.961725,-75.224459,"{7350815E-342B-4A51-9FAF-FE4A6532F6B5}","2016"
7419,"5221745N","52","N",21745,29,"52NRACNO","52nd St & Race St","City","Bus","No","APC Fall 2016",70,82,152,46,55,101,43,56,99,39.962992,-75.224196,"{35962EDA-8224-4B4D-87C6-96AF58571EB7}","2016"
7420,"52780N","52","N",780,30,"52NHAVNO","52nd St & Haverford Av - FS","City","Bus","No","APC Fall 2016",142,232,374,82,133,215,56,89,145,39.965197,-75.224591,"{BE4D78EE-81A5-4797-8A0C-A804DC2AA808}","2016"
7421,"5221746N","52","N",21746,31,"52NPARNO","52nd St & Parrish St","City","Bus","No","APC Fall 2016",58,114,172,34,58,92,25,36,61,39.966536,-75.224812,"{8341B99F-26CD-4AFE-986A-D9B8D6DBA4D3}","2016"
7422,"5221747N","52","N",21747,32,"52NWESNO","52nd St & Westminster Av - FS","City","Bus","No","APC Fall 2016",57,164,221,48,90,138,49,91,140,39.968286,-75.225078,"{9FBBC5B2-4A0D-4020-8669-B4E9795F5743}","2016"
7423,"5221748N","52","N",21748,33,"52NWYANO","52nd St & Wyalusing Av - FS","City","Bus","No","APC Fall 2016",42,98,140,26,52,78,24,53,77,39.969678,-75.225358,"{5599C2FA-5E5D-4EA3-939B-B4D39D41B5B7}","2016"
7424,"52781N","52","N",781,34,"52NGIRNO","52nd St & Girard Av","City","Bus","No","APC Fall 2016",195,522,717,134,295,429,87,212,299,39.971339,-75.225743,"{C89C5B84-858E-468F-BAE7-E092C3B5E7D5}","2016"
7425,"5221749N","52","N",21749,35,"52NTHONO","52nd St & Thompson St - FS","City","Bus","No","APC Fall 2016",43,155,198,35,76,111,31,65,96,39.973116,-75.22608,"{08994C8F-1D50-49EF-A165-2B2BA8326C3E}","2016"
