"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
6731,"5221256N","City","52","Northbound",1,21256,"49TWOOSE","49th St & Woodland Av","Bus","Yes",187,"49WO","No","APC (UTA)",NA,48,1,49,48,0,48,32,0,32,39.940866,-75.212759,"{2A9DC579-79EF-4F37-A636-7EB689114345}","2017"
6732,"52317N","City","52","Northbound",2,317,"WOO50TSW","Woodland Av & 50th St","Bus","No",0,NA,"No","APC (UTA)",NA,641,96,737,296,50,346,304,58,362,39.940092,-75.213819,"{DE559392-9B04-4197-B60F-459D9C07D7B9}","2017"
6733,"5220741N","City","52","Northbound",3,20741,"WOO51SSW","Woodland Av & 51st St","Bus","No",0,NA,"No","APC (UTA)",NA,42,2,44,16,0,16,16,1,17,39.939222,-75.215075,"{39C49C68-5746-4A2C-AB43-785FCF64D3B6}","2017"
6734,"5220742N","City","52","Northbound",4,20742,"WOO52NSW","Woodland Av & 52nd St","Bus","No",0,NA,"No","APC (UTA)",NA,94,9,103,65,5,70,56,4,60,39.938439,-75.216219,"{AF37989C-A376-4918-807F-63327D949D50}","2017"
6735,"5220743N","City","52","Northbound",5,20743,"WOO53RSW","Woodland Av & 53rd St","Bus","No",0,NA,"No","APC (UTA)",NA,58,8,66,34,2,36,31,4,35,39.937461,-75.21756,"{32263005-BC6F-4C3A-A348-D0C71F616059}","2017"
6736,"5221727N","City","52","Northbound",6,21727,"54TWOONW","54th St & Woodland Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,410,31,441,257,16,273,210,8,218,39.93653,-75.219112,"{A62ABFAF-D755-48C8-95D2-04AA15B266BF}","2017"
6737,"5221728N","City","52","Northbound",7,21728,"54TGRENW","54th St & Greenway Av","Bus","No",0,NA,"No","APC (UTA)",NA,72,7,79,44,3,47,38,4,42,39.93738,-75.220113,"{723154E6-D049-4CA4-BA24-50292EADE94E}","2017"
6738,"5221730N","City","52","Northbound",8,21730,"54TKISNW","54th St & Kingsessing Av - FS","Bus","No",0,NA,"No","APC (UTA)",NA,82,16,98,45,4,49,40,5,45,39.938739,-75.221727,"{1A4755B5-B8FC-42CB-8B55-BB31A5A5E2BB}","2017"
6739,"5221257N","City","52","Northbound",9,21257,"54TCHENW","54th St & Chester Av","Bus","Yes",0,"54CH","No","APC (UTA)",NA,372,81,453,270,46,316,241,31,272,39.93958,-75.222775,"{63398111-B499-43E9-8047-BDA3D4F87271}","2017"
6740,"5221731N","City","52","Northbound",11,21731,"54TSPRNW","54th St & Springfield Av","Bus","No",0,NA,"No","APC (UTA)",NA,124,21,145,57,9,66,48,12,60,39.940697,-75.224035,"{0E62DB82-4FA4-4310-9E4A-EBBEB3D8BF1D}","2017"
6741,"5221732N","City","52","Northbound",12,21732,"54TWARNW","54th St & Warrington Av","Bus","No",0,NA,"No","APC (UTA)",NA,225,92,317,80,15,95,76,29,105,39.94186,-75.225437,"{D53BA0CA-014A-46D1-99C3-573C16F2ED90}","2017"
6742,"5221733N","City","52","Northbound",13,21733,"54TFLONW","54th St & Florence Av","Bus","No",0,NA,"No","APC (UTA)",NA,247,54,301,102,32,134,82,16,98,39.942951,-75.226685,"{C4B9A3E3-2DB3-4B4B-82E6-05C3AC592387}","2017"
6743,"5221734N","City","52","Northbound",14,21734,"54TWILNW","54th St & Willows Av","Bus","No",0,NA,"No","APC (UTA)",NA,214,50,264,112,23,135,88,19,107,39.94414,-75.228052,"{00A4D672-A388-4BA9-B5F1-06A73A83AE68}","2017"
6744,"5221735N","City","52","Northbound",15,21735,"54TWHINW","54th St & Whitby Av","Bus","No",0,NA,"No","APC (UTA)",NA,227,49,276,115,27,142,86,19,105,39.945258,-75.229418,"{BE17373A-D14C-4008-BA3B-E2EB4A624CE4}","2017"
6745,"5221736N","City","52","Northbound",16,21736,"WHI53RNE","Whitby Av & 53rd St","Bus","No",0,NA,"No","APC (UTA)",NA,12,20,32,4,5,9,2,8,10,39.94581,-75.228756,"{2F3301CE-69C9-461A-8227-ECCA4FCA99E0}","2017"
6746,"5225520N","City","52","Northbound",17,25520,"WHI52NNE","Whitby Av & 52nd St - MBNS","Bus","No",0,NA,"No","APC (UTA)",NA,7,7,14,1,3,4,2,6,8,39.946727,-75.227454,"{82709953-5FF5-4169-BFCC-4B7657CC0B8E}","2017"
