"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Saturday_B","Saturday_L","Sunday_Boa","Sunday_Lea","Latitude","Longitude","GlobalID","year"
14217,"5229565S","City","52","Southbound",34,29565,"BALMONSO","Bala Av & Montgomery Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,0,0,0,0,0,40.00647,-75.232462,"{A29849EA-46DD-4428-BAC0-5BA1B1396AD0}","2019"
21151,"5221679S","City","52","Southbound",32,21679,"CONLODSE","Conshohocken State Rd & Lodges Ln","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.010756,-75.234081,"{031FA41C-96F4-4981-8266-5BDEE4AE92F1}","2019"
18781,"5221721N","City","52","Northbound",40,21721,"52NHESNE","52nd St & Heston St","Bus","No",0,NA,"No","APC (InfoDev)",NA,10,144,0,0,0,0,39.979772,-75.225069,"{17230073-C6D8-415D-A7FA-5CC3C054CFDB}","2019"
8844,"5230135N","City","52","Northbound",89,30135,"OAKOAWNE","Oakwood Ter & Oakwood Dr - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,2,0,0,0,0,40.039501,-75.255994,"{1255AD5A-3075-4EA8-86D5-5D19C0115EA6}","2019"
12925,"52768S","City","52","Southbound",67,768,"52NHAVSO","52nd St & Haverford Av - FS","Bus","Yes",335,"52HA","No","APC (InfoDev)",NA,232,110,129,78,82,55,39.964697,-75.224651,"{4C71D2F6-C40E-49DD-8690-5FB663BE1822}","2019"
4241,"5221692S","City","52","Southbound",59,21692,"52NLANSO","52nd St & Lancaster Av - FS","Bus","Yes",2331,"52LA","No","APC (InfoDev)",NA,358,119,198,60,121,26,39.977017,-75.22692,"{802F2217-DAB3-4B65-AF94-60A84CE563CA}","2019"
11657,"5225520N","City","52","Northbound",17,25520,"WHI52NNE","Whitby Av & 52nd St - MBNS","Bus","No",0,NA,"No","APC (InfoDev)",NA,54,28,16,13,27,11,39.946727,-75.227454,"{E22B90B7-5AAF-4B74-B393-632738134606}","2019"
18156,"5221799N","City","52","Northbound",97,21799,"CONMAPNW","Conshohocken State Rd & Maplecrest","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,1,0,0,0,0,40.037065,-75.277612,"{95A8EFA1-9B1E-4AEB-A436-65D07C50439E}","2019"
10952,"5221719S","City","52","Southbound",92,21719,"GRE51SNE","Greenway Av & 51st St","Bus","No",0,NA,"No","APC (InfoDev)",NA,3,52,0,29,0,26,39.940069,-75.216374,"{FC814906-60C9-4039-87B0-6690D1709F4F}","2019"
13368,"5221750N","City","52","Northbound",36,21750,"52NMASNO","52nd St & Master St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,56,228,33,132,31,92,39.974401,-75.226301,"{9C3A8E90-3E3A-46DF-B9EB-69B76191DE9E}","2019"
9216,"5221668S","City","52","Southbound",18,21668,"HAGFLASE","Hagys Ford Rd & Flat Rock Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,0,0,0,0,0,40.030234,-75.254361,"{CBED12C4-5E2E-4794-A323-69C98F826991}","2019"
18608,"5221667S","City","52","Southbound",17,21667,"HAGTOWSE","Hagys Ford Rd & Tower Ln - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.032514,-75.257288,"{5FA47571-5211-4846-959E-69DB8E90D958}","2019"
18195,"5221774N","City","52","Northbound",73,21774,"CONOVENW","Conshohocken State Rd & Overhill Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.015099,-75.237308,"{98E3A733-3D5F-4CA9-9568-6A0AAA321038}","2019"
873,"5229561S","City","52","Southbound",27,29561,"CONROCSO","Conshohocken State Rd & Rockhill Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.017441,-75.239594,"{170D9E68-4FC7-403B-9272-6A2DB3FA170B}","2019"
15483,"5220561S","City","52","Southbound",38,20561,"CITBRYSW","City Av & Bryn Mawr Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,4,1,0,0,0,0,39.99922,-75.230851,"{0A294DE5-067F-4AD6-B1D6-6A9901557944}","2019"
7819,"5222218S","City","52","Southbound",52,22218,"JEF52NSE","Jefferson St & 52nd St","Bus","Yes",0,"JE52","No","APC (InfoDev)",NA,276,79,192,56,142,34,39.979443,-75.225507,"{1E405A36-F539-47DC-92A7-6B72D80579F0}","2019"
2883,"5221696S","City","52","Southbound",64,21696,"52NWYASO","52nd St & Wyalusing Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,142,44,73,29,64,12,39.969313,-75.22543,"{363AE19B-9A8B-4F36-9A9E-6C86ACBB0EA4}","2019"
11739,"526239N","City","52","Northbound",62,6239,"CIT53RNE","City Av & 53rd St","Bus","Yes",2296,NA,"No","APC (InfoDev)",NA,2,31,3,3,2,1,39.997449,-75.234365,"{7DA59DD6-7EA3-4297-996B-6D4F51C93F73}","2019"
19872,"5229558S","City","52","Southbound",19,29558,"HAGFLTSE","Hagys Ford Rd & Flat Rock Rd - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.029152,-75.253016,"{9F70947A-20BD-458C-931E-6D7AABBE1FD9}","2019"
10928,"5229570S","City","52","Southbound",7,29570,"HABBOANO","Hagys Ford Rd & Bobarn Rd - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.036274,-75.25943,"{EA18D5FE-9F54-459A-941E-6DBB975BBFE0}","2019"
21480,"5221699S","City","52","Southbound",68,21699,"52NRACSO","52nd St & Race St","Bus","No",0,NA,"No","APC (InfoDev)",NA,95,71,51,36,38,30,39.963153,-75.224325,"{63BB1FA3-F317-40DF-92F2-6FF7540535AC}","2019"
13848,"5230138N","City","52","Northbound",60,30138,"54TCITSO","54th St & City Av - MBFS","Bus","Yes",1,"54CL","No","APC (InfoDev)",NA,16,90,23,64,3,62,39.995986,-75.23457,"{BCE70ADD-C989-4A3C-8D88-6FFF68750883}","2019"
4766,"5221758N","City","52","Northbound",45,21758,"JEF52NNW","Jefferson St & 52nd St - FS","Bus","Yes",0,"JE52","No","APC (InfoDev)",NA,87,284,32,206,40,160,39.979577,-75.225554,"{7FBB1233-1225-4A0A-B547-70B8144CBA1E}","2019"
2748,"5221663N","City","52","Northbound",95,21663,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.034927,-75.259268,"{F64CD2B5-5654-4F5A-B45F-72EED999B79E}","2019"
12569,"5221694S","City","52","Southbound",61,21694,"52NMASSO","52nd St & Master St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,184,50,115,22,75,21,39.974107,-75.22642,"{33B54B51-5318-459F-9B73-733745BF0D13}","2019"
206,"5221669S","City","52","Southbound",22,21669,"CONHAGSE","Conshohocken & Hagys Ford Rd - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.025241,-75.257683,"{B5198F11-AC58-4574-AABC-734A9047D82D}","2019"
4119,"5221759N","City","52","Northbound",46,21759,"JEFLINNW","Jefferson St & Lindenwood St","Bus","No",0,NA,"No","APC (InfoDev)",NA,15,44,8,40,6,37,39.980123,-75.227041,"{FD5EB1CF-B322-4235-BE48-74481D36B53E}","2019"
15315,"5229570N","City","52","Northbound",86,29570,"HABBOANO","Hagys Ford Rd & Bobarn Rd - MBFS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.036274,-75.25943,"{1AF52481-DB88-4ACD-8E67-76165D1AD4D4}","2019"
20856,"5221754S","City","52","Southbound",55,21754,"PAR51SNW","Parkside Av & 51st St","Bus","No",0,NA,"No","APC (InfoDev)",NA,21,0,0,0,0,0,39.980775,-75.221392,"{6CEFA54B-0620-4C5C-A61F-76FC8439F2F8}","2019"
16191,"5229575N","City","52","Northbound",94,29575,"HAGBOASE","Hagys Ford Rd & Bobarn Dr - MBNS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.036257,-75.259596,"{8AD9A7A9-473B-41BC-9295-773EF9FBC797}","2019"
1795,"52781N","City","52","Northbound",34,781,"52NGIRNO","52nd St & Girard Av","Bus","Yes",0,"52GI","No","APC (InfoDev)",NA,139,454,94,294,69,178,39.971339,-75.225743,"{4AA23A4D-89F2-4416-8352-79B4582E3C24}","2019"
18843,"5231039N","City","52","Northbound",39,31039,"PARWESWE","Parkwest Town Center","Bus","Yes",2094,"PAWE","No","APC (InfoDev)",NA,98,278,69,208,39,111,39.978715,-75.222733,"{50DC1DC6-C697-4C12-89F8-7A0BEC228CCD}","2019"
20023,"5230771N","City","52","Northbound",44,30771,"PARLOOSO","50th & Parkside Loop","Bus","Yes",397,"PKLO","No","APC (InfoDev)",NA,6,41,0,0,0,0,39.978201,-75.219687,"{6C3625B9-CC60-467C-B652-7A38D6F5F9E2}","2019"
1651,"5221711S","City","52","Southbound",82,21711,"54TWILSE","54th St & Willows Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,31,142,16,86,11,56,39.944158,-75.228312,"{8969234A-7B53-436C-AC0C-7A7E374EDAF9}","2019"
1222,"52777N","City","52","Northbound",18,777,"52NBALNW","52nd St & Baltimore Av","Bus","Yes",468,"52BA","No","APC (InfoDev)",NA,295,103,188,62,104,33,39.947709,-75.227262,"{E9A74ED1-D8F7-47F2-BD25-7C552DF5890B}","2019"
16071,"5221780N","City","52","Northbound",78,21780,"CONHAGNO","Conshohocken St & Hagys Ford Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,1,0,0,0,0,40.025348,-75.257565,"{76DE959D-40D9-4B35-9EBE-7D02CF356248}","2019"
4019,"5221658N","City","52","Northbound",85,21658,"HAGBOBNW","Hagys Ford Rd & Bobarn Rd - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.035042,-75.259079,"{20A284DA-1C72-4B17-B4AE-7E6234AC0341}","2019"
4900,"5221680S","City","52","Southbound",33,21680,"CONBALSO","Conshohocken State Rd & Bala Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.007532,-75.232802,"{B1E88C80-F33B-4428-B2EE-7F71028311E7}","2019"
15312,"5221653S","City","52","Southbound",3,21653,"CONMAPSE","Conshohocken State Rd & Maplecrest","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.037164,-75.277908,"{C42E4E15-EA9A-4133-8F3C-8071B385A09E}","2019"
1566,"5221770N","City","52","Northbound",68,21770,"BALMONNO","Bala Av & Montgomery Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,3,1,0,0,0,0,40.006335,-75.232238,"{036BA961-F31B-4812-B2FB-807F442DC2A5}","2019"
11588,"5221695S","City","52","Southbound",62,21695,"52NTHOSO","52nd St & Thompson St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,155,52,77,28,60,19,39.97275,-75.226176,"{D8B7B5EF-1E0F-4443-8D56-8151329F14A0}","2019"
16515,"5221687S","City","52","Southbound",45,21687,"54TLEBSO","54th St & Lebanon Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,106,43,55,17,42,8,39.987468,-75.232514,"{4EB52C7B-AE26-4D29-8B2E-82088A740ABA}","2019"
20664,"5221733N","City","52","Northbound",13,21733,"54TFLONW","54th St & Florence Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,235,51,106,33,84,18,39.942951,-75.226685,"{2F4FBAE8-1935-4512-AB6B-83D4CB12C804}","2019"
21347,"5229574S","City","52","Southbound",14,29574,"HAGCHEWE","Hagys Ford Rd & Chermar Ln - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.03813,-75.258681,"{3F5800A3-E298-4470-83E9-890D1616FE33}","2019"
21586,"5221718S","City","52","Southbound",91,21718,"GRE52NNE","Greenway Av & 52nd St","Bus","No",0,NA,"No","APC (InfoDev)",NA,9,89,5,58,4,50,39.939267,-75.21751,"{E7A97006-ACD8-4502-A4B5-8AF7CDBFFA51}","2019"
14075,"5231210N","City","52","Northbound",96,31210,"HOLCONSW","Hollow Rd & Conshohocken State Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.031183,-75.263001,"{A7C1EAC5-2969-49F4-A8AA-8B08FF7487C2}","2019"
21808,"5221777N","City","52","Northbound",75,21777,"CONROCNW","Conshohocken State Rd & Rockhill Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,3,0,0,0,0,40.018245,-75.240041,"{6D441B08-7E5C-46F7-9AFA-8B8871DD6FA7}","2019"
20102,"5229559S","City","52","Southbound",25,29559,"CONMANEA","Conshohocken State Rd & Manayunk Rd - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,0,0,0,0,0,40.018796,-75.244401,"{530A6A62-4969-4B3B-81D9-8ED421A27CCD}","2019"
15729,"5221663S","City","52","Southbound",16,21663,"HAGBOBSE","Hagys Ford Rd & Bobarn Dr","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.034927,-75.259268,"{0CDB524E-7D55-4B34-A3D2-90771DAA03AE}","2019"
2682,"5221764N","City","52","Northbound",52,21764,"54TLEBNW","54th St & Lebanon Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,31,144,7,68,9,58,39.987325,-75.232314,"{E61EA0C3-FECB-4E9E-A43F-933229FC099B}","2019"
6942,"5221768N","City","52","Northbound",58,21768,"54TOVENO","54th St & Overbrook Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,2,5,0,0,0,0,39.994628,-75.233924,"{7342DA3E-36E8-4377-958D-94120D7ECFA3}","2019"
10009,"52767S","City","52","Southbound",63,767,"52NGIRSO","52nd St & Girard Av - FS","Bus","Yes",0,"52GI","No","APC (InfoDev)",NA,441,134,294,85,177,60,39.971241,-75.225873,"{FF5AEA6F-3794-4069-9C67-945A22A2EA70}","2019"
21522,"5221745N","City","52","Northbound",29,21745,"52NRACNO","52nd St & Race St","Bus","No",0,NA,"No","APC (InfoDev)",NA,191,192,80,96,92,84,39.962992,-75.224196,"{7CADD5E9-D858-4E9B-BD47-94B51021C7B8}","2019"
6519,"52698S","City","52","Southbound",37,698,"BALCITSO","Bala Av & City Av","Bus","Yes",423,"BCAV","No","APC (InfoDev)",NA,1,7,0,0,0,0,40.000243,-75.22891,"{9C8FEDAE-0878-4337-A94D-94DE00CE61CC}","2019"
12587,"5221738N","City","52","Northbound",20,21738,"52NCEDNO","52nd St & Cedar Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,199,73,87,26,57,20,39.950626,-75.226746,"{16892DAA-6382-41DF-A411-9865A44AE406}","2019"
830,"5231270S","City","52","Southbound",57,31270,"52NJEFSO","52nd St & Jefferson St","Bus","No",0,NA,"No","APC (InfoDev)",NA,58,3,0,0,0,0,39.979594,-75.225341,"{6DC90A17-851D-42D2-84F1-9AB0B4A39E07}","2019"
14425,"5221779N","City","52","Northbound",77,21779,"CONCENNW","Conshohocken State Rd & Centennial","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,2,0,0,0,0,40.023318,-75.255147,"{2FB2C7EA-B291-4D64-B186-9B04159A9075}","2019"
4887,"5221728N","City","52","Northbound",7,21728,"54TGRENW","54th St & Greenway Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,98,10,47,4,39,0,39.93738,-75.220113,"{B1AEC843-8BB1-4DE1-AF7E-9B43CEEB7EED}","2019"
13351,"5229560S","City","52","Southbound",28,29560,"CONDARSE","Conshohocken & Dartmouth - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,0,0,0,0,0,40.016726,-75.238875,"{54A98755-3AAA-4BC7-97F9-9D6AC487BCDD}","2019"
15700,"5221751N","City","52","Northbound",37,21751,"52NWARNO","52nd St & Warren St - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,79,301,18,133,17,93,39.976455,-75.226673,"{FE85C5C2-C172-4618-8C06-9E99E5BB8D6C}","2019"
13969,"5230130N","City","52","Northbound",71,30130,"COSDERNW","Conshohocken State Rd & Derwin Rd","Bus","No",0,NA,"No","APC (InfoDev)",NA,1,0,0,0,0,0,40.012311,-75.235117,"{82075A75-2625-4454-A05D-9EE1E4230A2E}","2019"
18028,"5221697S","City","52","Southbound",65,21697,"52NWESSO","52nd St & Westminster Av - FS","Bus","No",0,NA,"No","APC (InfoDev)",NA,183,62,103,27,75,23,39.967929,-75.225186,"{A7DF2C39-4447-4E51-A8D4-9F7636A8A384}","2019"
21213,"5231283S","City","52","Southbound",39,31283,"CITMAPSW","City Av & Maple Av","Bus","No",0,NA,"No","APC (InfoDev)",NA,0,1,0,0,0,0,39.998153,-75.233158,"{AE79175C-8D2C-4E36-98DB-9FBDAA4F2F21}","2019"
