"OBJECTID","GIS_DB_ID","Sign_Up","Route","Direction","Sequence","Stop_ID","Stop_Abbre","Stop_Name","Mode","Time_Point","Time_Poi_1","Time_Poi_2","School","Source","Comments","Weekday_Bo","Weekday_Le","Weekday_To","Saturday_B","Saturday_L","Saturday_T","Sunday_Boa","Sunday_Lea","Sunday_Tot","Latitude","Longitude","GlobalID","year"
12010,"5221673S","City","52","Southbound",23,21673,"CONCENSE","Conshohocken St & Centennial Rd","Bus","No",0,NA,"No","APC (UTA)",NA,1,0,1,0,0,0,0,0,0,40.023489,-75.256068,"{628301AB-C590-4AAF-B7B2-C30104026AD9}","2018"
12011,"5221677S","City","52","Southbound",26,21677,"CONROCSE","Conshohocken State Rd & RockHill Rd","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.018254,-75.24029,"{43506EA3-8BE5-4B7C-8CC3-4BCDCC30DDA7}","2018"
12012,"5221678S","City","52","Southbound",30,21678,"CONLEVSE","Conshohocken State Rd & LeveringMil","Bus","No",0,NA,"No","APC (UTA)",NA,1,0,2,0,0,0,0,0,0,40.013473,-75.236201,"{F55E3FA5-7CD8-4675-8D83-377547B28630}","2018"
12013,"5221679S","City","52","Southbound",32,21679,"CONLODSE","Conshohocken State Rd & Lodges Ln","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.010756,-75.234081,"{4C976735-497C-4259-B2CE-5751032BA452}","2018"
12014,"5221680S","City","52","Southbound",33,21680,"CONBALSO","Conshohocken State Rd & Bala Av","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.007532,-75.232802,"{E3ED1F97-53A7-4E12-B299-194E98AF9B88}","2018"
12015,"5221682S","City","52","Southbound",36,21682,"BALUNISE","Bala Av & Union Av","Bus","No",0,NA,"No","APC (UTA)",NA,0,0,0,0,0,0,0,0,0,40.003174,-75.231277,"{184AA2DD-23C0-420B-BCB1-D3629A8D9AC4}","2018"
12016,"5221683S","City","52","Southbound",41,21683,"54TOVESO","54th St & Overbrook Av","Bus","No",0,NA,"No","APC (UTA)",NA,80,11,91,30,2,32,16,2,18,39.994888,-75.234136,"{22D45425-781F-4E1C-A8BF-3AEA190935ED}","2018"
12017,"5221684S","City","52","Southbound",42,21684,"54TWOOSO","54th St & Woodbine Av","Bus","No",0,NA,"No","APC (UTA)",NA,26,5,31,15,3,19,20,3,23,39.992335,-75.233789,"{1037BCA7-3C8E-4364-9D1A-859F4050E86E}","2018"
12018,"5221685S","City","52","Southbound",43,21685,"54TWODSO","54th St & Woodcrest Av","Bus","No",0,NA,"No","APC (UTA)",NA,46,10,56,35,7,42,29,3,32,39.990799,-75.233604,"{BEF8CCB4-F0A9-4B7C-BB37-3DCEF135A391}","2018"
12019,"5221686S","City","52","Southbound",44,21686,"54TGAISO","54th St & Gainor Rd","Bus","No",0,NA,"No","APC (UTA)",NA,53,17,69,39,8,47,36,7,43,39.988995,-75.23303,"{EFD845CE-720C-46B7-B193-BDB64FC564DE}","2018"
